HCPCS_CD,HCPCS_CD_DESC
0900T,"NONINVASIVE ESTIMATE OF ABSOLUTE QUANTITATION OF MYOCARDIAL BLOOD FLOW (AQMBF), DERIVED FROM ASSISTIVE ALGORITHMIC ANALYSIS OF THE DATASET ACQUIRED VIA CONTRAST CARDIAC MAGNETIC RESONANCE (CMR), PHARMACOLOGIC STRESS, WITH INTERPRETATION AND REPORT BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL"
0901T,PLACEMENT OF BONE MARROW SAMPLING PORT
0902T,"AUGMENTATIVE ALGORITHMIC ANALYSIS OF INPUT FROM AN EXTERNAL, PATIENT-ACTIVATED MOBILE ECG DEVICE TO DERIVE QTC INTERVAL"
0903T,ALGORITHMICALLY GENERATED 12-LEAD ECG FROM A REDUCED-LEAD ECG
0904T,"ALGORITHMICALLY GENERATED 12-LEAD ECG FROM A REDUCED-LEAD ECG, TRACING ONLY"
0905T,"ALGORITHMICALLY GENERATED 12-LEAD ECG FROM A REDUCED-LEAD ECG, INTERPRETATION AND REPORT ONLY"
0906T,"WOUND ASSESSMENT AND DRESSING CARE USING CONCURRENT OPTICAL AND MAGNETIC STIMULATION THERAPY, FIRST APPLICATION, TOTAL WOUND(S) SURFACE AREA LESS THAN OR EQUAL TO 50 SQ CM"
0907T,"WOUND ASSESSMENT AND DRESSING CARE USING CONCURRENT OPTICAL AND MAGNETIC STIMULATION THERAPY, EACH ADDITIONAL APPLICATION, TOTAL WOUND(S) SURFACE AREA LESS THAN OR EQUAL TO 50 SQ CM"
0908T,IMPLANTATION OF INTEGRATED VAGUS NERVE NEUROSTIMULATOR
0909T,REPLACEMENT OF INTEGRATED VAGUS NERVE NEUROSTIMULATOR
0910T,REMOVAL OF INTEGRATED VAGUS NERVE NEUROSTIMULATOR
0911T,ELECTRONIC ANALYSIS OF IMPLANTED INTEGRATED VAGUS NERVE NEUROSTIMULATOR WITHOUT PROGRAMMING
0912T,ELECTRONIC ANALYSIS OF IMPLANTED INTEGRATED VAGUS NERVE NEUROSTIMULATOR WITH SIMPLE PROGRAMMING
0913T,"TRANSCATHETER THERAPEUTIC DRUG DELIVERY BY INTRACORONARY DRUG-DELIVERY BALLOON, WITH IMAGING SUPERVISION, INTERPRETATION, AND REPORT, PERFORMED ON A SINGLE MAJOR CORONARY ARTERY OR BRANCH"
0914T,"TRANSCATHETER THERAPEUTIC DRUG DELIVERY BY INTRACORONARY DRUG-DELIVERY BALLOON, PERFORMED ON A SEPARATE TARGET LESION FROM THE TARGET LESION TREATED WITH BALLOON ANGIOPLASTY, CORONARY STENT PLACEMENT OR CORONARY ATHERECTOMY"
0915T,"INSERTION OF PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM COMPONENT(S), PULSE GENERATOR AND DUAL TRANSVENOUS ELECTRODES/LEADS"
0916T,"INSERTION OF PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM COMPONENT(S), PULSE GENERATOR ONLY"
0917T,"INSERTION OF PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM COMPONENT(S), SINGLE TRANSVENOUS LEAD ONLY"
0918T,"INSERTION OF PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM COMPONENT(S), DUAL TRANSVENOUS LEADS ONLY"
0919T,"REMOVAL OF A PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM COMPONENT(S), PULSE GENERATOR ONLY"
0920T,"REMOVAL OF A PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM COMPONENT(S), SINGLE TRANSVENOUS PACING LEAD ONLY"
0921T,"REMOVAL OF A PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM COMPONENT(S), SINGLE TRANSVENOUS DEFIBRILLATION LEAD ONLY"
0922T,"REMOVAL OF A PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM COMPONENT(S), DUAL TRANSVENOUS LEADS ONLY"
0923T,REMOVAL AND REPLACEMENT OF PERMANENT CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION PULSE GENERATOR ONLY
0924T,REPOSITIONING OF PREVIOUSLY IMPLANTED CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION TRANSVENOUS ELECTRODE(S)/LEAD(S)
0925T,RELOCATION OF SKIN POCKET FOR IMPLANTED CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION PULSE GENERATOR
0926T,IN PERSON PROGRAMMING DEVICE EVALUATION WITH ITERATIVE ADJUSTMENT OF THE IMPLANTABLE DEVICE TO TEST THE FUNCTION OF THE DEVICE AND SELECT OPTIMAL PERMANENT PROGRAMMED VALUES WITH ANALYSIS
0927T,"IN PERSON INTERROGATION DEVICE EVALUATION OF IMPLANTABLE CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM WITH ANALYSIS, REVIEW, AND REPORT, PER PATIENT ENCOUNTER"
0928T,"REMOTE INTERROGATION DEVICE EVALUATION, UP TO 90 DAYS, CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM WITH INTERIM ANALYSIS AND REPORT(S)"
0929T,"REMOTE INTERROGATION DEVICE EVALUATION, UP TO 90 DAYS, CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATION SYSTEM, REMOTE DATA ACQUISITION(S), RECEIPT OF TRANSMISSIONS, TECHNICIAN REVIEW, TECHNICAL SUPPORT, AND DISTRIBUTION OF RESULTS"
0930T,"ELECTROPHYSIOLOGIC EVALUATION OF CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATOR LEADS, AT TIME OF INITIAL IMPLANTATION OR REPLACEMENT WITH TESTING OF CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATOR PULSE GENERATOR"
0931T,"ELECTROPHYSIOLOGIC EVALUATION OF CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATOR LEADS, SEPARATE FROM INITIAL IMPLANTATION OR REPLACEMENT WITH TESTING OF CARDIAC CONTRACTILITY MODULATION-DEFIBRILLATOR PULSE GENERATOR"
0932T,DETECTION OF HEART FAILURE DERIVED FROM AUGMENTATIVE ANALYSIS OF AN ECHOCARDIOGRAM THAT DEMONSTRATED PRESERVED EJECTION FRACTION
0933T,TRANSCATHETER IMPLANTATION OF WIRELESS LEFT ATRIAL PRESSURE SENSOR FOR LONG-TERM LEFT ATRIAL PRESSURE MONITORING
0934T,REMOTE MONITORING OF A WIRELESS LEFT ATRIAL PRESSURE SENSOR FOR UP TO 30 DAYS
0935T,BLADDER EXAM USING A FLEXIBLE SCOPE WITH RENAL PELVIC SYMPATHETIC DENERVATION USING HEAT
0936T,"LIGHT THERAPY OF RETINA, SINGLE SESSION"
0937T,EXTERNAL ELECTROCARDIOGRAPHIC RECORDING FOR MORE THAN 15 DAYS UP TO 30 DAYS BY CONTINUOUS RHYTHM RECORDING AND STORAGE
0938T,EXTERNAL ELECTROCARDIOGRAPHIC RECORDING FOR MORE THAN 15 DAYS UP TO 30 DAYS BY CONTINUOUS RHYTHM RECORDING AND STORAGE; RECORDING
0939T,EXTERNAL ELECTROCARDIOGRAPHIC RECORDING FOR MORE THAN 15 DAYS UP TO 30 DAYS BY CONTINUOUS RHYTHM RECORDING AND STORAGE; SCANNING ANALYSIS WITH REPORT
0940T,EXTERNAL ELECTROCARDIOGRAPHIC RECORDING FOR MORE THAN 15 DAYS UP TO 30 DAYS BY CONTINUOUS RHYTHM RECORDING AND STORAGE; REVIEW AND INTERPRETATION BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL
0941T,BLADDER EXAM USING A FLEXIBLE SCOPE WITH INSERTION AND EXPANSION OF PROSTATIC URETHRAL SCAFFOLD USING INTEGRATED CYSTOSCOPIC VISUALIZATION
0942T,BLADDER EXAM OF A FLEXIBLE SCOPE WITH INSERTION AND EXPANSION OF PROSTATIC URETHRAL SCAFFOLD USING INTEGRATED CYSTOSCOPIC VISUALIZATION
0943T,BLADDER EXAM USING A FLEXIBLE SCOPE WITH REMOVAL OF PROSTATIC URETHRAL SCAFFOLD
0944T,3D CONTOUR SIMULATION OF TARGET LIVER LESION(S) AND MARGIN(S) FOR IMAGE-GUIDED MICROWAVE DESTRUCTION THOUGH SKIN
0945T,"ASSESSMENT FOR ABNORMAL TISSUE, DURING SURGERY FOLLOWING PARTIAL MASTECTOMY USING COMPUTER-AIDED FLUORESCENCE IMAGING"
0946T,ORTHOPEDIC IMPLANT MOVEMENT ANALYSIS USING PAIRED CT EXAMINATION OF THE TARGET STRUCTURE
0947T,"INTRACRANIAL MAGNETIC RESONANCE IMAGE GUIDED LOW INTENSITY FOCUSED ULTRASOUND, STEREOTACTIC BLOOD-BRAIN BARRIER DISRUPTION USING MICROBUBBLE RESONATORS TO INCREASE THE CONCENTRATION OF BLOOD-BASED BIOMARKERS OF TARGET"
10004,"FINE NEEDLE ASPIRATION BIOPSY, EACH ADDITIONAL GROWTH"
10005,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, FIRST GROWTH"
10006,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, EACH ADDITIONAL GROWTH"
10007,"FINE NEEDLE ASPIRATION BIOPSY USING FLUOROSCOPIC GUIDANCE, FIRST GROWTH"
10008,"FINE NEEDLE ASPIRATION BIOPSY USING FLUOROSCOPIC GUIDANCE, EACH ADDITIONAL GROWTH"
10009,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, FIRST GROWTH"
1000F,"TOBACCO USE ASSESSED (CAD, CAP, COPD, PV) (DM)"
10010,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, EACH ADDITIONAL GROWTH"
10011,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING MRI GUIDANCE, FIRST GROWTH"
10012,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING MRI GUIDANCE, EACH ADDITIONAL GROWTH"
10021,"FINE NEEDLE ASPIRATION BIOPSY, FIRST GROWTH"
10022,FINE NEEDLE ASPIRATION USING IMAGING GUIDANCE
1002F,ANGINAL SYMPTOMS AND LEVEL OF ACTIVITY ASSESSED (NMA-NO MEASURE ASSOCIATED)
10030,DRAINAGE OF FLUID COLLECTION IN SOFT TISSUE USING IMAGING GUIDANCE
10035,"PLACEMENT OF SOFT TISSUE LOCATING DEVICE USING X-RAY, FIRST GROWTH"
10036,"PLACEMENT OF SOFT TISSUE LOCATING DEVICE USING X-RAY, EACH ADDITIONAL GROWTH"
1003F,LEVEL OF ACTIVITY ASSESSED (NMA-NO MEASURE ASSOCIATED)
10040,ACNE SURGERY
1004F,CLINICAL SYMPTOMS OF VOLUME OVERLOAD (EXCESS) ASSESSED (NMA-NO MEASURE ASSOCIATED)
1005F,ASTHMA SYMPTOMS EVALUATED (INCLUDES DOCUMENTATION OF NUMERIC FREQUENCY OF SYMPTOMS OR PATIENT COMPLETION OF AN ASTHMA ASSESSMENT TOOL/SURVEY/QUESTIONNAIRE) (NMA-NO MEASURE ASSOCIATED)
10060,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS
10061,COMPLICATED OR MULTIPLE DRAINAGE OF SKIN ABSCESS
1006F,"OSTEOARTHRITIS SYMPTOMS AND FUNCTIONAL STATUS ASSESSED (MAY INCLUDE THE USE OF A STANDARDIZED SCALE OR THE COMPLETION OF AN ASSESSMENT QUESTIONNAIRE, SUCH AS THE SF-36, AAOS HIP & KNEE QUESTIONNAIRE) (OA) [INSTRUCTIONS: REPORT WHEN OSTEOARTHRITIS IS ADDRESSED DURING THE PATIENT ENCOUNTER]"
1007F,USE OF ANTI-INFLAMMATORY OR ANALGESIC OVER-THE-COUNTER (OTC) MEDICATIONS FOR SYMPTOM RELIEF ASSESSED (OA)
10080,SIMPLE DRAINAGE OF CYST OF TAILBONE
10081,COMPLICATED DRAINAGE OF CYST OF TAILBONE
1008F,GASTROINTESTINAL AND RENAL RISK FACTORS ASSESSED FOR PATIENTS ON PRESCRIBED OR OTC NON-STEROIDAL ANTI-INFLAMMATORY DRUG (NSAID) (OA)
1010F,SEVERITY OF ANGINA ASSESSED BY LEVEL OF ACTIVITY (CAD)
1011F,ANGINA PRESENT (CAD)
10120,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE"
10121,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, COMPLEX"
1012F,ANGINA ABSENT (CAD)
10140,DRAINAGE OF BLOOD OR FLUID ACCUMULATION
1015F,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) SYMPTOMS ASSESSED (INCLUDES ASSESSMENT OF AT LEAST 1 OF THE FOLLOWING: DYSPNEA, COUGH/SPUTUM, WHEEZING), OR RESPIRATORY SYMPTOM ASSESSMENT TOOL COMPLETED (COPD)"
10160,"ASPIRATION OF ABSCESS, BLOOD, OR CYST"
10180,COMPLEX DRAINAGE OF WOUND INFECTION AFTER SURGERY
1018F,"DYSPNEA ASSESSED, NOT PRESENT (COPD)"
1019F,"DYSPNEA ASSESSED, PRESENT (COPD)"
1022F,"PNEUMOCOCCUS IMMUNIZATION STATUS ASSESSED (CAP, COPD)"
1026F,"CO-MORBID CONDITIONS ASSESSED (EG, INCLUDES ASSESSMENT FOR PRESENCE OR ABSENCE OF: MALIGNANCY, LIVER DISEASE, CONGESTIVE HEART FAILURE, CEREBROVASCULAR DISEASE, RENAL DISEASE, CHRONIC OBSTRUCTIVE PULMONARY DISEASE, ASTHMA, DIABETES, OTHER CO-MORBID CONDITIONS) (CAP)"
1030F,INFLUENZA IMMUNIZATION STATUS ASSESSED (CAP)
1031F,SMOKING STATUS AND EXPOSURE TO SECOND HAND SMOKE IN THE HOME ASSESSED (ASTHMA)
1032F,CURRENT TOBACCO SMOKER OR CURRENTLY EXPOSED TO SECONDHAND SMOKE (ASTHMA)
1033F,CURRENT TOBACCO NON-SMOKER AND NOT CURRENTLY EXPOSED TO SECONDHAND SMOKE (ASTHMA)
1034F,"CURRENT TOBACCO SMOKER (CAD, CAP, COPD, PV) (DM)"
1035F,"CURRENT SMOKELESS TOBACCO USER (EG, CHEW, SNUFF) (PV)"
1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)"
1038F,"PERSISTENT ASTHMA (MILD, MODERATE OR SEVERE) (ASTHMA)"
1039F,INTERMITTENT ASTHMA (ASTHMA)
1040F,"DSM-5 CRITERIA FOR MAJOR DEPRESSIVE DISORDER DOCUMENTED AT THE INITIAL EVALUATION (MDD, MDD ADOL)"
1050F,HISTORY OBTAINED REGARDING NEW OR CHANGING MOLES (ML)
1052F,"TYPE, ANATOMIC LOCATION, AND ACTIVITY ALL ASSESSED (IBD)"
1055F,VISUAL FUNCTIONAL STATUS ASSESSED (EC)
1060F,DOCUMENTATION OF PERMANENT OR PERSISTENT OR PAROXYSMAL ATRIAL FIBRILLATION (STR)
1061F,DOCUMENTATION OF ABSENCE OF PERMANENT AND PERSISTENT AND PAROXYSMAL ATRIAL FIBRILLATION (STR)
1065F,ISCHEMIC STROKE SYMPTOM ONSET OF LESS THAN 3 HOURS PRIOR TO ARRIVAL (STR)
1066F,ISCHEMIC STROKE SYMPTOM ONSET GREATER THAN OR EQUAL TO 3 HOURS PRIOR TO ARRIVAL (STR)
1070F,"ALARM SYMPTOMS (INVOLUNTARY WEIGHT LOSS, DYSPHAGIA, OR GASTROINTESTINAL BLEEDING) ASSESSED; NONE PRESENT (GERD)"
1071F,"ALARM SYMPTOMS (INVOLUNTARY WEIGHT LOSS, DYSPHAGIA, OR GASTROINTESTINAL BLEEDING) ASSESSED; 1 OR MORE PRESENT (GERD)"
1090F,PRESENCE OR ABSENCE OF URINARY INCONTINENCE ASSESSED (GER)
1091F,"URINARY INCONTINENCE CHARACTERIZED (EG, FREQUENCY, VOLUME, TIMING, TYPE OF SYMPTOMS, HOW BOTHERSOME) (GER)"
11000,"REMOVAL OF INFLAMED OR INFECTED SKIN, UP TO 10% OF BODY SURFACE"
11001,"REMOVAL OF INFLAMED OR INFECTED SKIN, EACH ADDITIONAL 10% OF BODY SURFACE OR LESS"
11004,"REMOVAL OF INFECTED SKIN, TISSUE OR MUSCLE OF GENITALS"
11005,"REMOVAL OF INFECTED SKIN, TISSUE OR MUSCLE OF ABDOMEN"
11006,"REMOVAL OF INFECTED SKIN, TISSUE OR MUSCLE OF GENITALS, PERINEUM, OR ABDOMEN"
11008,REMOVAL OF INFECTED ARTIFICIAL MATERIAL OR MESH FROM ABDOMEN
1100F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF 2 OR MORE FALLS IN THE PAST YEAR OR ANY FALL WITH INJURY IN THE PAST YEAR (GER)
11010,REMOVAL OF FOREIGN MATERIAL FROM SKIN AND TISSUE AT OPEN BROKEN AND/OR DISLOCATED BONE
11011,"REMOVAL OF FOREIGN MATERIAL FROM SKIN, TISSUE, AND MUSCLE AT OPEN BROKEN AND/OR DISLOCATED BONE"
11012,"REMOVAL OF FOREIGN MATERIAL FROM SKIN, TISSUE, MUSCLE, AND BONE AT OPEN BROKEN AND/OR DISLOCATED BONE"
1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER)
11042,"REMOVAL OF SKIN AND TISSUE, 20.0 SQ CM OR LESS"
11043,"REMOVAL OF MUSCLE AND/OR TISSUE, 20.0 SQ CM OR LESS"
11044,"REMOVAL OF BONE, 20.0 SQ CM OR LESS"
11045,"REMOVAL OF SKIN AND TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS"
11046,"REMOVAL OF MUSCLE AND/OR TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS"
11047,"REMOVAL OF BONE, EACH ADDITIONAL 20.0 SQ CM OR LESS"
11055,"REMOVAL OF NONCANCER THICKENED SKIN GROWTH, 1 GROWTH"
11056,"REMOVAL OF NONCANCER THICKENED SKIN GROWTH, 2-4 GROWTHS"
11057,"REMOVAL OF NONCANCER THICKENED SKIN GROWTH, MORE THAN 4 GROWTHS"
11100,BIOPSY OF SINGLE GROWTH OF SKIN AND/OR TISSUE
11101,BIOPSY OF EACH ADDITIONAL GROWTH OF SKIN AND/OR TISSUE
11102,"BIOPSY OF RELATED SKIN GROWTH, FIRST GROWTH"
11103,"BIOPSY OF RELATED SKIN GROWTH, EACH ADDITIONAL GROWTH"
11104,"PUNCH BIOPSY, FIRST SKIN GROWTH"
11105,"PUNCH BIOPSY, EACH ADDITIONAL SKIN GROWTH"
11106,"INCISION BIOPSY, FIRST SKIN GROWTH"
11107,"INCISION BIOPSY, EACH ADDITIONAL SKIN GROWTH"
1110F,"PATIENT DISCHARGED FROM AN INPATIENT FACILITY (EG, HOSPITAL, SKILLED NURSING FACILITY, OR REHABILITATION FACILITY) WITHIN THE LAST 60 DAYS (GER)"
1111F,DISCHARGE MEDICATIONS RECONCILED WITH THE CURRENT MEDICATION LIST IN OUTPATIENT MEDICAL RECORD (COA) (GER)
1116F,AURICULAR OR PERIAURICULAR PAIN ASSESSED (AOE)
1118F,GERD SYMPTOMS ASSESSED AFTER 12 MONTHS OF THERAPY (GERD)
1119F,"INITIAL EVALUATION FOR CONDITION (HEP C)(EPI, DSP)"
11200,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS"
11201,"REMOVAL OF SKIN TAG, EACH ADDITIONAL 10 SKIN TAGS"
1121F,SUBSEQUENT EVALUATION FOR CONDITION (HEP C)(EPI)
1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)"
1124F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED IN THE MEDICAL RECORD, PATIENT DID NOT WISH OR WAS NOT ABLE TO NAME A SURROGATE DECISION MAKER OR PROVIDE AN ADVANCE CARE PLAN (DEM) (GER, PALL CR)"
1125F,PAIN SEVERITY QUANTIFIED; PAIN PRESENT (COA) (ONC)
1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC)
1127F,NEW EPISODE FOR CONDITION (NMA-NO MEASURE ASSOCIATED)
1128F,SUBSEQUENT EPISODE FOR CONDITION (NMA-NO MEASURE ASSOCIATED)
11300,"SHAVING OF SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS"
11301,"SHAVING OF SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.6-1.0 CM"
11302,"SHAVING OF SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM"
11303,"SHAVING OF SKIN GROWTH OF BODY, ARMS, OR LEGS, MORE THAN 2.0 CM"
11305,"SHAVING OF SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.5 CM OR LESS"
11306,"SHAVING OF SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.6-1.0 CM"
11307,"SHAVING OF SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 1.1-2.0 CM"
11308,"SHAVING OF SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 2.0 CM"
1130F,"BACK PAIN AND FUNCTION ASSESSED, INCLUDING ALL OF THE FOLLOWING: PAIN ASSESSMENT AND FUNCTIONAL STATUS AND PATIENT HISTORY, INCLUDING NOTATION OF PRESENCE OR ABSENCE OF ""RED FLAGS"" (WARNING SIGNS) AND ASSESSMENT OF PRIOR TREATMENT AND RESPONSE, AND EMPLOYMENT STATUS (BKP)"
11310,"SHAVING OF SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.5 CM OR LESS"
11311,"SHAVING OF SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.6-1.0 CM"
11312,"SHAVING OF SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 1.1-2.0 CM"
11313,"SHAVING OF SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, MORE THAN 2.0 CM"
1134F,EPISODE OF BACK PAIN LASTING 6 WEEKS OR LESS (BKP)
1135F,EPISODE OF BACK PAIN LASTING LONGER THAN 6 WEEKS (BKP)
1136F,EPISODE OF BACK PAIN LASTING 12 WEEKS OR LESS (BKP)
1137F,EPISODE OF BACK PAIN LASTING LONGER THAN 12 WEEKS (BKP)
11400,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS"
11401,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.6-1.0 CM"
11402,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM"
11403,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM"
11404,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 3.1-4.0 CM"
11406,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, MORE THAN 4.0 CM"
11420,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.5 CM OR LESS"
11421,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.6-1.0 CM"
11422,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 1.1-2.0 CM"
11423,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 2.1-3.0 CM"
11424,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 3.1-4.0 CM"
11426,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM"
11440,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.5 CM OR LESS"
11441,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.6-1.0 CM"
11442,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 1.1-2.0 CM"
11443,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.1-3.0 CM"
11444,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 3.1-4.0 CM"
11446,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, MORE THAN 4.0 CM"
11450,REMOVAL OF SKIN AND TISSUE OF UNDERARMS FOR INFLAMED SWEAT GLANDS WITH SIMPLE OR INTERMEDIATE REPAIR
11451,REMOVAL OF SKIN AND TISSUE OF UNDERARMS FOR INFLAMED SWEAT GLANDS WITH COMPLEX REPAIR
11462,REMOVAL OF SKIN AND TISSUE OF GROIN FOR INFLAMED SWEAT GLANDS WITH SIMPLE OR INTERMEDIATE REPAIR
11463,REMOVAL OF SKIN AND TISSUE OF GROIN FOR INFLAMED SWEAT GLANDS WITH COMPLICATED REPAIR
11470,REMOVAL OF SKIN AND TISSUE OF ANUS OR NAVEL FOR INFLAMED SWEAT GLANDS WITH SIMPLE OR INTERMEDIATE REPAIR
11471,REMOVAL OF SKIN AND TISSUE OF ANUS OR NAVEL FOR INFLAMED SWEAT GLANDS WITH COMPLICATED REPAIR
1150F,DOCUMENTATION THAT A PATIENT HAS A SUBSTANTIAL RISK OF DEATH WITHIN 1 YEAR (PALL CR)
1151F,DOCUMENTATION THAT A PATIENT DOES NOT HAVE A SUBSTANTIAL RISK OF DEATH WITHIN ONE YEAR (PALL CR)
1152F,"DOCUMENTATION OF ADVANCED DISEASE DIAGNOSIS, GOALS OF CARE PRIORITIZE COMFORT (PALL CR)"
1153F,"DOCUMENTATION OF ADVANCED DISEASE DIAGNOSIS, GOALS OF CARE DO NOT PRIORITIZE COMFORT (PALL CR)"
1157F,ADVANCE CARE PLAN OR SIMILAR LEGAL DOCUMENT PRESENT IN THE MEDICAL RECORD (COA)
1158F,ADVANCE CARE PLANNING DISCUSSION DOCUMENTED IN THE MEDICAL RECORD (COA)
1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA)
11600,"REMOVAL OF CANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS"
11601,"REMOVAL OF CANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.6-1.0 CM"
11602,"REMOVAL OF CANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM"
11603,"REMOVAL OF CANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM"
11604,"REMOVAL OF CANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 3.1-4.0 CM"
11606,"REMOVAL OF CANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, MORE THAN 4.0 CM"
